CEUS catalog emm_pi.c2 (March 2016)
mining-related eqks deleted
non-declustered
format: mw*(mixed moment magnitude; for rates use column 12),lon(dE),lat(dN),dp(km),y,m,d,h,m,s,mwsig,emw,nstar,comment
4.48 -104.900  39.500   5 1965 09 14 23 16 10.4 0.240 4.48 1.165 SRA|mb,4.8neic
2.98 -104.900  39.900   0 1965 09 27 10 34  0.  0.240 2.98 1.165 SRA|mb,3.3neic
3.18 -105.100  39.800   5 1965 09 29 18 59 56.1 0.240 3.18 1.165 USH|ml,3.50MLGOL
1.88 -104.900  39.900   0 1965 09 29 19 05  0.  0.240 1.88 1.165 SRA|ml,2.20MLGOL
4.28 -104.800  39.800   5 1965 09 29 19 20 40.8 0.240 4.28 1.165 SRA|mb,4.6neic
2.08 -104.900  39.900   0 1965 09 29 19 33  0.  0.240 2.08 1.165 SRA|ml,2.40MLGOL
1.98 -104.900  39.900   0 1965 09 29 20 07  0.  0.240 1.98 1.165 SRA|ml,2.30MLGOL
4.28 -104.800  39.800   5 1965 09 29 23 22 58.  0.240 4.28 1.165 SRA|mb,4.6neic
1.68 -104.900  39.900   0 1965 11 07 09 25  0.  0.240 1.68 1.165 SRA|ml,2.00MLGOL
1.68 -104.900  39.900   0 1965 11 14 17 16  0.  0.240 1.68 1.165 SRA|ml,2.00MLGOL
2.18 -104.900  39.900   0 1965 11 14 18 45  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
4.28 -104.800  39.800   5 1965 11 21 03 59 58.9 0.240 4.28 1.165 SRA|mb,4.6neic
3.48 -104.800  39.800   5 1965 11 21 04 02 28.7 0.240 3.48 1.165 USH|ml,3.80MLGOL
2.08 -104.900  39.900   0 1965 11 21 04 09  0.  0.240 2.08 1.165 SRA|ml,2.40MLGOL
4.08 -104.700  39.900   5 1965 11 21 04 24 48.5 0.240 4.08 1.165 SRA|mb,4.4neic
4.38 -104.900  39.800   5 1965 11 21 05 00 27.3 0.240 4.38 1.165 SRA|mb,4.7neic
2.58 -104.900  39.900   0 1965 11 21 14 48  0.  0.240 2.58 1.165 SRA|ml,2.90MLGOL
1.78 -104.800  39.900   5 1966 01 02 00 13 41.8 0.240 1.78 1.165 SRA|ml,2.10MLGOL
4.68 -104.700  39.800   5 1966 01 05 00 37 17.8 0.240 4.68 1.165 SRA|mb,5.0neic
2.28 -104.900  39.900   0 1966 03 18 14 18  0.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
1.98 -104.900  39.900   0 1966 05 26 02 21  0.  0.240 1.98 1.165 SRA|ml,2.30MLGOL
2.28 -104.900  39.900   0 1966 06 06 19 57  0.  0.240 2.28 1.165 SRA|ml,2.60MLGOL
3.38 -109.000  40.090   7 1966 07 05 18 26 13.3 0.240 3.38 1.165 SRA|mb,3.7neic
3.18 -109.000  40.060   7 1966 07 05 20 02 41.7 0.240 3.18 1.165 SRA|mb,3.5neic
3.78 -108.950  40.090   7 1966 07 06 05 47 08.4 0.240 3.78 1.165 SRA|mb,4.1neic
1.68 -104.900  39.900   0 1966 08 19 05 29  0.  0.240 1.68 1.165 SRA|ml,2.00MLGOL
2.18 -104.900  39.900   0 1966 10 25 17 14  0.  0.240 2.18 1.165 SRA|ml,2.50MLGOL
2.78 -104.900  39.900   0 1966 11 13 15 17  0.  0.240 2.78 1.165 SRA|ml,3.10MLGOL
3.18 -104.700  39.900   5 1966 11 14 20 02 35.9 0.240 3.18 1.165 USH|ml,3.50MLGOL
2.58 -104.900  39.900   0 1966 11 15 02 51  0.  0.240 2.58 1.165 SRA|ml,2.90MLGOL
3.98 -104.950  39.880   7 1967 02 03 05 27 58.9 0.240 3.98 1.165 SRA|mb,4.3neic
1.98 -104.900  39.890   8 1967 02 03 05 34 13.3 0.240 1.98 1.165 SRA|ml,2.30MLGOL
4.18 -109.050  40.110   7 1967 02 15 03 28 03.5 0.240 4.18 1.165 SRA|mb,4.5neic
2.38 -108.970  40.220   7 1967 02 15 04 33 22.3 0.240 2.38 1.165 SRA|md,2.70MD_UU
