The South American Crustal Structure Database

	9.61	0	85	400	mg						
	9.66	0	85	485	mg						
1	0.38	0	40	570	mg						
1	0.75	0	40	610	mg						
											
17.00S	6.32	0	40	0		40	0	0	SPO-PC	9	E
72.00W	8.04	0	90	40	mg	40	MCz	999	99K.3	O	RO
	8.25	0	90	130	mg						
	8.51	0	90	220	mg						
	8.71	0	90	310	mg						
	9.61	0	85	400	mg						
	9.66	0	85	485	mg						
1	0.56	0	40	570	mg						
1	0.75	0	0	610	mg						
											
17.00S	6.32	0	40	0		40	0	0	SPO-PC	9	E
72.00W	8.04	0	105	40	mg	40	MCz	999	99K.3	O	RO
	8.28	0	105	145	mg						
	8.54	0	75	250	mg						
	8.71	0	75	325	mg						
	9.61	0	80	400	mg						
	9.66	0	105	480	mg						
1	0.56	0	45	585	mg						
1	0.75	0	0	630	mg						
											
17.70S	5.5	3.18	10	0		65	3.9	0	SAC-BR	3	E
68.08W	6.37	3.7	55	10		65	MCz	127.4	00S.4	O	RO
	8.04	4.51	0	65	m						
											
18.99S	5.5	3.18	10	0		55	4	0	SAC-BR	3	E
66.55W	6.08	3.53	45	10		55	MCz	249.9	00S.4	O	RO
	8.04	4.37	0	55	m						
											
21.00S	5.5	3.18	10	0		65	3.9	0	SAC-BR	3	E
66.55W	5.79	3.35	55	10		65	MCz	355.5	00S.4	O	RO
	8.04	4.37	0	65	m						
											
21.00S	5.5	3.18	10	0		65	3.9	0	SAC-BR	3	E
66.55W	6.09	3.31	55	10		65	MCz	355.5	00S.4	O	RO
	8.04	4.37	0	65	m						
											
18.80S	5.5	3.18	10	0		60	3.7	0	SAC-BR	3	E
66.75W	6.08	3.53	50	10		60	MCz	999	00S.4	O	RO
	8.04	4.44	0	60	m						
											
21.17S	5.5	3.18	10	0		55	3.6	0	SAC-BR	3	E
65.68W	5.81	3.36	45	10		55	MCz	16.9	00S.4	O	RO
	8.04	4.37	0	55	m						
											
30.21S	6	0	49	0	c	49	1.8	0	SAC-BR	2	E
70.70W	8.1	0	0	49	m	49	MCz	93.5	04F.2	O	RO
											
30.23S	6	0	59	0	c	59	2.5	0	SAC-BR	2	E
70.38W	8.1	0	0	59	m	59	MCz	93.5	04F.2	O	RO
											
30.27S	6	0	65	0	c	65	4	0	SAC-BR	2	E
67.76W	8.1	0	0	65	m	65	MCz	93.5	04F.2	O	RO
											
30.33S	6	0	60	0	c	60	1.5	0	SAC-BR	2	E
68.84W	8.1	0	0	60	m	60	MCz	93.5	04F.2	O	RO
											
30.34S	6	0	58	0		58	1	0	SAC-BR	2	E
68.54W	8.1	0	0	58	m	58	MCz	93.5	04F.2	O	RO
											
30.39S	6	0	54	0		54	1.2	0	SAC-BR	2	E
67.74W	8.1	0	0	54	m	54	MCz	93.5	04F.2	O	RO
											
30.46S	6	0	45	0		45	0.6	0	SAC-BR	2	E
66.52W	8.1	0	0	45	m	45	MCz	93.5	04F.2	O	RO
											
30.50S	6	0	34	0		34	0.2	0	SAC-BR	2	E
65.17W	8.1	0	0	34	m	34	MCz	93.5	04F.2	O	RO
											
2.90S	3	1.67	1.6	0		38	0.1	0	SAC-AM	3	E
60.07W	6	3.25	36.4	1.6		38	ePt	999	02K.1	S	HD
	0	0	0	38	m						
											
2.05S	6	3.25	38	0		38	0.1	0	SAC-AM	2	E
59.60W	0	0	0	38	m	38	ePt	999	02K.1	S	HD
											
.71S	6	3.25	48	0		48	0.1	0	SAC-AM	2	E
59.95W	0	0	0	48	m	48	ePt	999	02K.1	S	HD
											
1.96S	6	3.25	38	0		38	0.1	0	SAC-AM	2	E
60.04W	0	0	0	38	m	38	ePt	999	02K.1	S	HD
											
1.40S	2.4	0	0.1	0	sg	12.7	-1.6	0	SPO-CR	9	U
82.01W	2.8	0	0.1	0.1	sg	12.9	MCz	90	04G.1		
	4.8	0	0.5	0.2	cg						
	5.5	0	0.5	0.7	cg						
	6.15	0	3.2	1.2	cg						
	6.8	0	3.2	4.4	cg						
	7	0	2.65	7.6	cg						
	7.3	0	2.65	10.25	cg						
	8	0	0	12.9	m						
											
1.40S	2	0	0.3	0	sg	14.2	-2.3	0	SPO-CR	9	R
81.60W	2.4	0	0.3	0.3	sg	14.8	MCz	90	04G.1		
	4.5	0	1.6	0.6	cg						
	5.4	0	1.6	2.2	cg						
	6.2	0	1.8	3.8	cg						
	6.8	0	3.2	5.6	cg						
	7	0	3.7	8.8	cg						
	7.1	0	2.3	12.5	cg						
	8	0	0	14.8	m						
											
1.40S	1.8	0	0.5	0	sg	15.1	-0.1	0	SPO-PC	12	R
81.15W	2.2	0	0.5	0.5	sg	21.7	MCz	90	04G.1		
	3.8	0	2.8	1	sg						
	5.7	0	2.8	3.8	sg						
	2.7	0	0.2	6.6	l						
	5	0	1.6	6.8	lg						
	5.45	0	1.6	8.4	lg						
	6.45	0	2	10	cg						
	7	0	3.2	12	cg						
	7.2	0	3.9	15.2	cg						
	7.45	0	2.6	19.1	cg						
	8	0	0	21.7	m						
											
1.40S	1.9	0	0.1	0	s	0	0	0	SPO-PC	6	U
80.75W	3.6	0	0.5	0.1	sg	14.1	MCz	90	04G.1		
	5	0	0.5	0.6	sg						
	6.1	0	6.5	1.1	sg						
	6.5	0	6.5	7.6	sg						
	5	0	0	14.1	lg						
											
8.93N	2.52	1.42	4.6	0		41.8	-0.1	0	NAC-CO	11	E
84.10W	2.72	1.53	4.1	4.6		41.8	MCz	999	03D.3	O	RO
	3.7	2.08	1.9	8.7							
	4.4	2.47	4.3	10.6							
	4.89	2.75	7.9	14.9							
	6.19	3.48	3.8	22.8							
	6.67	3.75	10	26.6							
	7.21	4.05	5.2	36.6							
	8.19	4.6	5	41.8	m						
	8.7	4.89	5.1	46.8	m						
	9.74	5.47	0	51.9	m						
											
10.00N	5.3	0	2	0		43	0.8	0	NAC-CO	9	E
84.30W	5.99	0	4	2		43	MCz	999	00S.5	O	RO
	6.2	0	6	6							
	6.31	0	8	12							
	6.74	0	10	20							
	7.1	0	13	30							
	7.43	0	22	43	m						
	7.95	0	55	65	m						
	8.25	0	0	120	m						
											
10.60N	3.4	0	2.6	0	s	41.4	0.2	0	NAC-CO	9	R
85.20W	5.21	0	0.7	2.6	cg	44	MCz	45	00S.5	O	RO
	5.58	0	1.8	3.3	cg						
	6.09	0	3	5.1	cg						
	6.18	0	4.5	8.1	cg						
	6.35	0	10.2	12.6	cg						
	6.94	0	12.6	22.8	cg						
	7.14	0	8.6	35.4	cg						
	7.34	0	0	44	mg						
											
10.51N	3.52	2.02	1	0		44.98	0.1	0	SAC-PT	10	E
63.43W	4.25	2.47	0.94	1		44.98	MCz	999	04B.3	S	HD
	5.03	1.69	1.69	1.94							
	5.59	5.72	3.17	3.63							
	5.72	3.33	1.34	6.8							
	5.98	3.5	4.78	8.14							
	6.23	3.65	4	12.92							
	6.39	3.73	3.06	16.92							
	6.52	3.8	25	19.98							
	8.25	4.8	0	44.98	m						
											
38.00S	4.39	2.4	0.5	0		45.5	0.5	0	SAC-PT	8	E
72.00W	5.51	3.19	5	0.5		45.5	MCz	999	02B.4	O	RO
	6.28	3.6	15	5.5							
	6.89	3.93	15	20.5							
	7.4	4.12	10	35.5							
	7.76	4.55	10	45.5	m						
	7.94	4.55	35	55.5	m						
	8.34	4.77	0	90.5	m						
											
38.82S	4	0	1.1	0	s	54	0	0	SAC-PT	10	R
72.87W	5.9	0	6.9	1.1	cg	55.1	MCz	92.7	02B.4	O	RO
	6.3	0	6.9	8	cg						
	6.6	0	8.2	14.9	cg						
	6.9	0	8.2	23.1	cg						
	7.2	0	8.3	31.3	cg						
	7.3	0	8.3	39.6	cg						
	6.9	0	3.6	47.9	cg						
	7.2	0	3.6	51.5	cg						
	8	0	0	55.1	m						
											
38.88S	4	0	0.6	0	sg	24.6	0.6	0	SAC-PT	6	R
71.85W	5.2	0	0.6	0.6	sg	25.8	MCz	92.7	02B.4	O	RO
	5.9	0	6.3	1.2	cg						
	6.3	0	6.3	7.5	cg						
	6.8	0	12	13.8	cg						
	6.9	0	0	25.8	cg						
											
38.90S	4	0	1.35	0	sg	0	1.9	0	SAC-PT	3	U
70.69W	5.2	0	1.35	1.35	sg	2.7	MCz	92.7	02B.4	O	RO
	5.9	0	0	2.7	cg						
											
22.46S	0	3.07	1	0		44.3	0.3	0	SAC-BH	13	E
52.83W	0	3.03	2	1		44.3	MCz	999	04A.2	E	XC
	0	3.05	2	3							
	0	3.26	2.9	5							
	0	3.48	14.8	7.9							
	0	3.82	21.6	22.7							
	0	4.73	9.9	44.3	m						
	0	4.74	4	54.2	m						
	0	4.75	6.7	58.2	m						
	0	4.73	23.7	64.9	m						
	0	4.76	20.8	88.6	m						
	0	4.71	20.8	109.4	m						
	0	4.67	0	130.2	m						
											
21.64S	0	3.1	1	0		41.5	0.3	0	SAC-BH	12	E
51.26W	0	2.76	3.8	1		41.5	MCz	999	04A.2	E	XC
	0	3.44	4	4.8							
	0	3.6	2.2	8.8							
	0	3.53	13.6	11	l						
	0	3.77	16.9	24.6							
	0	4.49	5.2	41.5	m						
	0	4.56	5	46.7	m						
	0	4.64	6.5	51.7	m						
	0	4.66	29.1	58.2	m						
	0	4.71	44.8	87.3	m						
	0	4.67	0	132.1	m						
											
22.03S	0	3.15	0.9	0		39.9	0.3	0	SAC-BH	18	E
51.31W	0	2.85	3.5	0.9		39.9	MCz	999	04A.2	E	XC
	0	3.44	5.1	4.4							
	0	3.54	3.4	9.5							
	0	3.53	8.8	12.9							
	0	3.57	8.7	21.7							
	0	3.55	3.5	30.4							
	0	3.59	6	33.9							
	0	4.7	4.2	39.9	m						
	0	4.72	1.9	44.1	m						
	0	4.68	2	46	m						
	0	4.67	2.6	48	m						
	0	4.68	18	50.6	m						
	0	4.57	18	68.6	m						
	0	4.58	2.6	86.6	m						
	0	4.66	11.1	89.2	m						
	0	4.7	29.9	100.3	m						
	0	4.67	0	130.2	m						
											
5.01N	4.5	2.59	5	0		13	1.6	0	SAC-LL	3	E
72.95W	5.5	3.16	8	5		13	MCz	999	03D.3	O	RO
	6.5	3.74	0	13							
											
33.53S	2.3	0	1.7	0	s	22.8	-0.8	0	SPO-CH	10	R
72.08W	5.4	0	0.9	1.7	cg	24.5	MCz	104.7	98F.4	O	RO
	6.2	0	0.9	2.6	cg						
	6.5	0	7.4	3.5	c						
	5	0	5.6	10.9	l						
	6.5	0	0.5	16.5	c						
	6	0	1.3	17	l						
	6.7	0	3.1	18.3	cg						
	7.2	0	3.1	21.4	cg						
	8.1	0	0	24.5	m						
											
33.64S	5.2	0	0.6	0	s	33.9	0.1	0	SAC-BR	8	R
71.56W	6	0	1.95	0.6	cg	34.5	MCz	104.7	98F.4	O	RO
	6.3	0	1.95	2.55	cg						
	6.5	0	11.6	4.5	cg						
	6.8	0	11.6	16.1	cg						
	6.9	0	3.4	27.7	cg						
	7.2	0	3.4	31.1	cg						
	8.1	0	0	34.5	m						
											
33.30S	2	0	0.4	0	s	5	-4.6	0	SPO-CH	7	U
73.13W	3	0	0.3	0.4	s	5.7	MCz	104.7	98F.4		
	4.7	0	0.8	0.7	cg						
	6	0	0.8	1.5	cg						
	6.4	0	1.7	2.3	cg						
	6.8	0	1.7	4	cg						
	8	0	0	5.7	m						
											
33.42S	2.2	0	2.4	0	s	6.2	-3.8	0	SPO-CH	8	R
72.60W	3.2	0	1.9	2.4	sg	12.4	MCz	104.7	98F.4		
	3.6	0	1.9	4.3	sg						
	5.6	0	0.6	6.2	cg						
	6	0	0.6	6.8	cg						
	6.5	0	2.5	7.4	cg						
	7	0	2.5	9.9	cg						
	8	0	0	12.4	m						
											
32.78S	2.1	0	0.7	0	s	5.8	-4.1	0	SPO-CH	6	U
73.10W	4.5	0	0.6	0.7	c	6.5	MCz	90	98F.4		
	6	0	0.6	1.3	c						
	6.2	0	2.3	1.9	c						
	7	0	2.3	4.2	c						
	8.1	0	0	6.5	m						
											
32.78S	2.3	0	1.1	0	s	6.4	-4.9	0	SPO-CH	7	R
72.69W	3	0	2.1	1.1	s	9.6	MCz	90	98F.4		
	4.5	0	0.3	3.2	cg						
	6	0	0.3	3.5	cg						
	6.2	0	2.9	3.8	cg						
	7	0	2.9	6.7	cg						
	8.1	0	0	9.6	m						
											
32.78S	2.1	0	1.5	0	s	20.9	-2.4	0	SPO-CH	10	R
72.18W	3.1	0	1	1.5	s	23.4	MCz	90	98F.4		
	5.5	0	3.9	2.5	cg						
	6	0	6.4	6.4	cg						
	6.2	0	2.5	12.8	cg						
	4.5	0	0.5	15.3	lg						
	6	0	0.5	15.8	cg						
	6.65	0	3.55	16.3	cg						
	7.1	0	3.55	19.85	cg						
	8.1	0	0	23.4	m						
											
32.78S	2.1	0	0.8	0	s	36.1	-0.1	0	SAC-BR	8	R
71.62W	6	0	3.5	0.8	c	36.9	MCz	90	98F.4	O	RO
	6.4	0	5.6	4.3	cg						
	6.6	0	12.5	9.9	cg						
	6.7	0	6.9	22.4	cg						
	6.8	0	3.8	29.3	cg						
	7.1	0	3.8	33.1	cg						
	8.1	0	0	36.9	m						
											
49.17S	0	2.76	5	0		26	0.2	0	SAC-CS	11	W
73.90W	0	3.68	10	5		26	MCz	155	03R.2	O	RO
	0	3.95	11	15							
	0	4.16	51	26	m						
	0	4.24	35	77	m						
	0	4.36	36	112	m						
	0	4.48	36	148	m						
	0	4.6	36	184	m						
	0	4.72	47	220	m						
	0	4.84	47	267	m						
	0	5.01	47	314	m						
											
49.17S	0	2.76	5	0		26	0.2	0	SAC-CS	13	W
73.90W	0	3.68	10	5		26	MCz	155	03R.2	O	RO
	0	3.95	11	15							
	0	4.51	15	26	m						
	0	4.5	15	41	m						
	0	4.26	21	56	m						
	0	4.33	35	77	m						
	0	4.36	36	112	m						
	0	4.49	36	148	m						
	0	4.61	36	184	m						
	0	4.72	47	220	m						
	0	4.84	47	267	m						
	0	5.01	47	314	m						
											
43.96S	0	2.87	5	0		34	1.5	0	SAC-PT	13	W
71.80W	0	3.53	10	5		34	MCz	176.1	03R.2	O	RO
	0	3.78	19	15							
	0	4.41	15	34	m						
	0	4.38	15	49	m						
	0	4.33	20	64	m						
	0	4.31	36	84	m						
	0	4.37	35	120	m						
	0	4.49	36	155	m						
	0	4.64	36	191	m						
	0	4.75	47	227	m						
	0	4.85	47	274	m						
	0	4.9	48	321	m						
											
43.96S	0	2.87	5	0		34	1.5	0	SAC-PT	13	W
71.80W	0	3.53	10	5		34	MCz	176.1	03R.2	O	RO
	0	3.78	19	15							
	0	4.6	15	34	m						
	0	4.56	15	49	m						
	0	4.37	20	64	m						
	0	4.35	36	84	m						
	0	4.38	35	120	m						
	0	4.5	36	155	m						
	0	4.64	36	191	m						
	0	4.75	47	227	m						
	0	4.85	47	274	m						
	0	4.9	48	321	m						
											
55.90S	2	0	1.6	0	sg	9.8	-4.8	0	SPO-PC	8	R
72.26W	2.8	0	1.6	1.6	sg	13	MCz	62.1	00R.1		
	5.8	0	1.6	3.2	cg						
	7	0	4.9	4.8	cg						
	7.4	0	3.3	9.7	cg						
	7.8	0	2.9	13	mg						
	8.2	0	6.2	15.9	mg						
	8.4	0	0	22.1	mg						
											
55.78S	1.9	0	2.5	0	sg	11.7	-2.4	0	SPO-PC	10	R
71.83W	2.8	0	2.5	2.5	sg	19.7	MCz	62.1	00R.1		
	3.5	0	1.5	5	sg						
	4.5	0	1.5	6.5	sg						
	5.8	0	2.2	8	cg						
	7	0	5.9	10.2	cg						
	7.3	0	3.6	16.1	cg						
	7.8	0	3.3	19.7	mg						
	8.2	0	5.6	23	mg						
	8.4	0	0	28.6	mg						
											
55.57S	2.8	0	1.8	0	s	29.3	-1.8	0	SPO-PC	10	R
71.13W	5.4	0	3.4	1.8	c	31.1	MCz	62.1	00R.1		
	6.1	0	7.2	5.2	c						
	6.7	0	4.2	12.4	cg						
	7	0	4.2	16.6	cg						
	5.8	0	1.6	20.8	lg						
	7.2	0	5.1	22.4	cg						
	7.5	0	3.6	27.5	cg						
	8	0	1.7	31.1	mg						
	8.2	0	0	32.8	mg						
											
11.51N	2	0	1	0	s	1.45	-5.2	0	NAO-CV	3	R
23.50W	4.44	0	1.45	1	c	2.45	MCz	111	93S.4		
	8.48	4.59	0	2.45	m						
											
11.47N	2	0	1	0	s	4.03	-5.2	0	NAO-CV	4	R
23.16W	4.44	0	2.02	1	c	5.03	MCz	111	93S.4		
	6.71	3.36	2.01	3.02	c						
	7.76	4.15	0	5.03	m						
											
11.17N	4.1	0	1.3	0	c	6.13	-5.2	0	NAO-CV	3	R
23.77W	6.95	0	4.83	1.3	c	6.13	MCz	103	93S.4		
	8.1	0	0	6.13	m						
											
11.04N	2	0	0.3	0	s	1.4	-5.2	0	NAO-CV	3	R
23.52W	4.1	0	1.4	0.3	c	1.7	MCz	103	93S.4		
	8.36	4.52	0	1.7	m						
											
10.72N	2	0	0.4	0	s	3.84	-5.3	0	NAO-CV	4	U
24.06W	4.45	0	1.9	0.4	c	4.24	MCz	286	93S.4		
	5.75	3.07	1.94	2.3	c						
	8.35	4.64	0	4.24	m						
											
9.73N	2	0	0.4	0	s	3.15	-5.3	0	NAO-CV	4	R
24.30W	3.68	0	0.75	0.4	c	3.55	MCz	93	93S.4		
	6.36	0	2.4	1.15	c						
	7.86	0	0	3.55	m						
											
9.70N	2	0	0.4	0	s	1.1	-5.1	0	NAO-CV	4	R
23.83W	3.68	0	0.5	0.4	c	1.5	MCz	93	93S.4		
	6.36	0	0.6	0.9	c						
	7.86	0	0	1.5	m						
											
9.70N	4.39	0	1.73	0	c	3.41	-4.4	0	NAO-CV	3	U
21.61W	5.91	0	1.68	1.73	c	3.41	MCz	107	93S.4		
	7.43	4.05	0	3.41	m						
											
5.60N	4.8	2.7	4	0	c	32	1.1	0	SAC-AN	6	E
75.20W	6.6	3.71	21	4	c	32	MCz	999	02O.1	O	RO
	7	3.93	7	25	c						
	8	4.49	8	32	m						
	8.1	4.55	60	40	m						
	8.2	4.61	0	100	m						
											
6.84N	3	0	0.2	0	sg	7.8	-3	0	NPO-CO	7	U
84.46W	3.5	0	1.1	0.2	cg	8	MCz	135.2	03S.1		
	5.5	0	1.6	1.3	cg						
	6.5	0	1.3	2.9	cg						
	7	0	2.2	4.2	cg						
	7.3	0	1.6	6.4	cg						
	0	0	0	8	m						
											
6.68N	3	0	0.3	0	sg	9.1	-2.8	0	NPO-CO	7	R
84.30W	3.5	0	1.1	0.3	cg	9.4	MCz	135.2	03S.1		
	5.5	0	1.2	1.4	cg						
	6	0	0.7	2.6	cg						
	6.5	0	3.2	3.3	cg						
	7.1	0	2.9	6.5	cg						
	0	0	0	9.4	m						
											
6.52N	3	0	0.4	0	sg	11.2	-2.4	0	NPO-CO	9	R
84.14W	3.5	0	1.2	0.4	cg	11.6	MCz	135.2	03S.1		
	5	0	1.1	1.6	cg						
	5.5	0	0.8	2.7	cg						
	6	0	1	3.5	cg						
	6.5	0	1.8	4.5	cg						
	7	0	3.3	6.3	cg						
	7.1	0	2	9.6	cg						
	0	0	0	11.6	m						
											
6.21N	3	0	0.4	0	sg	14.3	-2	0	NPO-CO	8	R
83.83W	3.5	0	1.5	0.4	cg	14.7	MCz	135.2	03S.1		
	5.5	0	1.5	1.9	cg						
	6	0	0.9	3.4	cg						
	6.5	0	2.8	4.3	cg						
	7	0	5	7.1	cg						
	7.2	0	2.6	12.1	cg						
	0	0	0	14.7	m						
											
5.89N	3	0	0.3	0	sg	16.3	-1.8	0	NPO-CO	7	R
83.51W	3.5	0	1	0.3	cg	16.6	MCz	135.2	03S.1		
	5	0	1.2	1.3	cg						
	5.5	0	1.5	2.5	cg						
	6.5	0	6.8	4	cg						
	7.3	0	5.8	10.8	cg						
	0	0	0	16.6	m						
											
5.57N	3.2	0	0.2	0	sg	11	-2.7	0	NPO-CO	8	R
83.19W	3.5	0	1	0.2	cg	11.2	MCz	135.2	03S.1		
	5.5	0	1	1.2	cg						
	6	0	0.6	2.2	cg						
	6.5	0	1.3	2.8	cg						
	7	0	4	4.1	cg						
	7.2	0	3.1	8.1	cg						
	0	0	0	11.2	m						
											
5.41N	3.3	0	0.3	0		8.1	-2.9	0	NPO-CO	8	R
83.03W	4	0	0.9	0.3		8.1	MCz	135.2	03S.1		
	5.5	0	0.7	1.2							
	6	0	0.6	1.9							
	6.5	0	1.4	2.5							
	7	0	2.6	3.9							
	7.2	0	1.6	6.5							
	0	0	0	8.1	m						
											
7.80N	3	0	0.3	0	sg	18.6	-1.4	0	NPO-CO	9	R
81.40W	3.5	0	0.9	0.3	cg	18.9	MCz	298.8	03S.1		
	5	0	1	1.2	cg						
	5.5	0	0.9	2.2	cg						
	6	0	1.2	3.1	cg						
	6.5	0	6.5	4.3	cg						
	7	0	7	10.8	cg						
	7.1	0	1.1	17.8	cg						
	0	0	0	18.9	m						
											
8.01N	3	0	0.5	0	sg	16.9	-1.9	0	NPO-CO	7	R
81.79W	3.5	0	1.5	0.5	cg	17.4	MCz	298.8	03S.1		
	5.5	0	2	2	cg						
	6.5	0	6.3	4	cg						
	7	0	6.2	10.3	cg						
	7.1	0	0.9	16.5	cg						
	0	0	0	17.4	m						
											
8.22N	2.7	0	0.4	0	sg	15	-1.7	0	NPO-CO	9	R
82.17W	3.5	0	0.9	0.4	cg	15.4	MCz	298.8	03S.1		
	4.5	0	1	1.3	cg						
	5	0	1.5	2.3	cg						
	6	0	1.9	3.8	cg						
	6.5	0	3.8	5.7	cg						
	7	0	4.4	9.5	cg						
	7.2	0	1.5	13.9	cg						
	0	0	0	15.4	m						
											
8.43N	2.6	0	0.5	0	sg	12.2	-2.5	0	NPO-CO	9	R
82.56W	3.5	0	1.1	0.5	cg	12.7	MCz	298.8	03S.1		
	4.5	0	1.2	1.6	cg						
	5.5	0	1.1	2.8	cg						
	6	0	0.8	3.9	cg						
	6.5	0	1.1	4.7	cg						
	7	0	3.8	5.8	cg						
	7.2	0	3.1	9.6	cg						
	0	0	0	12.7	m						
											
8.53N	3	0	0.3	0	sg	12.7	-1.5	0	NPO-CO	9	R
82.75W	3.5	0	0.5	0.3	cg	13	MCz	298.8	03S.1		
	4	0	0.5	0.8	cg						
	4.5	0	0.6	1.3	cg						
	5	0	1.9	1.9	cg						
	6.5	0	3.3	3.8	cg						
	7	0	3.8	7.1	cg						
	7.2	0	2.1	10.9	cg						
	0	0	0	13	m						
											
4.73N	3.5	0	0.3	0	cg	4.9	-3.8	0	NPO-PN	9	R
79.59W	4	0	0.5	0.3	cg	4.9	MCz	134.7	03S.1		
	4.5	0	0.4	0.8	cg						
	5	0	0.3	1.2	cg						
	5.5	0	0.5	1.5	cg						
	6.5	0	0.7	2	cg						
	7	0	0.9	2.7	cg						
	7.5	0	1.3	3.6	cg						
	7.95	0	0	4.9	mg						
											
4.57N	3.5	0	0.4	0	cg	8.6	-3.3	0	NPO-PN	8	R
79.44W	4	0	1	0.4	cg	8.6	MCz	134.7	03S.1		
	5.5	0	0.7	1.4	cg						
	6	0	0.4	2.1	cg						
	6.5	0	1.1	2.5	cg						
	7	0	2.9	3.6	cg						
	7.7	0	2.1	6.5	cg						
	0	0	0	8.6	mg						
											
4.27N	3.5	0	0.4	0	cg	18.8	-1.7	0	NPO-PN	8	R
79.13W	4	0	1	0.4	cg	18.8	MCz	134.7	03S.1		
	5	0	1.1	1.4	cg						
	5.5	0	1.3	2.5	cg						
	6	0	1.6	3.8	cg						
	6.5	0	5	5.4	cg						
	7	0	8.4	10.4	cg						
	0	0	0	18.8	m						
											
3.96N	2.5	0	0.4	0	sg	16	-2.1	0	NPO-PN	9	R
78.82W	3	0	0.7	0.4	sg	17.1	MCz	134.7	03S.1		
	3.5	0	1	1.1	cg						
	5	0	1.3	2.1	cg						
	6	0	1.2	3.4	cg						
	6.5	0	2.8	4.6	cg						
	7	0	6	7.4	cg						
	7.3	0	3.7	13.4	cg						
	0	0	0	17.1	m						
											
3.65N	3	0	0.4	0	sg	11.2	-2.5	0	NPO-PN	8	R
78.51W	3.5	0	1.1	0.4	cg	11.6	MCz	134.7	03S.1		
	5	0	1	1.5	cg						
	5.5	0	1.5	2.5	cg						
	6.5	0	2.2	4	cg						
	7	0	3.2	6.2	cg						
	7.2	0	2.2	9.4	cg						
	0	0	0	11.6	m						
											
19.46S	4.97	0	2.9	0		68.9	3.8	0	SAC-AN	5	E
69.32W	5.98	0	15.9	2.9		68.9	MCz	999	02B.5	O	RO
	5.43	0	15.4	18.8	l						
	6.18	0	34.7	34.2							
	8	0	0	68.9	m						
											
19.50S	6.04	0	15.1	0		59.9	3.8	0	SAC-AN	4	E
68.81W	5.68	0	14.6	15.1	l	59.9	MCz	999	02B.5	O	RO
	6.14	0	30.2	29.7							
	8	0	0	59.9	m						
											
19.37S	5	0	4.6	0		58.5	3.7	0	SAC-AN	7	E
68.28W	5.95	0	10.4	4.6		58.5	MCz	999	02B.5	O	RO
	5.74	0	6.5	15	l						
	6.15	0	8.5	21.5							
	5.85	0	6	30	l						
	5.95	0	22.5	36							
	7.87	0	0	58.5	m						
											
19.00S	5.6	0	2.9	0		65.2	3.8	0	SAC-AN	6	E
67.87W	6	0	15.9	2.9		65.2	MCz	999	02B.5	O	RO
	5.78	0	10.3	18.8	l						
	6.1	0	36.1	29.1							
	8.21	0	26	65.2	m						
	7.61	0	0	91.2	m						
											
19.23S	6	0	13.8	0		73.5	4.1	0	SAC-AN	4	E
67.30W	5.4	0	8.2	13.8	l	73.5	MCz	999	02B.5	O	RO
	6.2	0	51.5	22							
	8	0	0	73.5	m						
											
19.47S	5.79	0	15.1	0		66	3.9	0	SAC-AN	7	E
66.86W	5.43	0	5	15.1	l	66	MCz	999	02B.5	O	RO
	6.18	0	12.7	20.1							
	6.57	0	16.2	32.8							
	6	0	17	49	l						
	7.5	0	15.4	66	m						
	8	0	0	81.4	m						
											
19.25S	4.8	0	0.9	0		56.3	3.3	0	SAC-AN	7	E
65.71W	5	0	6.2	0.9		56.3	MCz	999	02B.5	O	RO
	5.55	0	7.7	7.1							
	6.3	0	17.3	14.8							
	5.15	0	7.4	32.1	l						
	6.1	0	16.8	39.5							
	8	0	0	56.3	m						
											
19.29S	5	0	8.8	0		58.3	2.4	0	SAC-BR	6	E
65.12W	6.1	0	15.1	8.8		58.3	MCz	999	02B.5	P	LT
	5.6	0	9.4	23.9	l						
	5.8	0	13.9	33.3							
	6.2	0	11.1	47.2							
	8	0	0	58.3	m						
											
19.52S	4.8	0	2.3	0		48.9	1.6	0	SAC-BR	7	E
64.63W	5.5	0	5.9	2.3		48.9	MCz	999	02B.5	P	LT
	5.8	0	11.6	8.2							
	6.2	0	11.3	19.8							
	5.6	0	6.8	31.1	l						
	6.3	0	11	37.9							
	8	0	0	48.9	m						
											
19.73S	4.9	0	14.4	0		42.7	1.1	0	SAC-BR	3	E
64.22W	6.3	0	28.3	14.4		42.7	MCz	999	02B.5	P	LT
	8.5	0	0	42.7	m						
											
19.95S	4.93	0	16.4	0		39.3	0.7	0	SAC-BR	3	E
63.92W	6.22	0	22.9	16.4		39.3	MCz	999	02B.5	P	LT
	8.41	0	0	39.3	m						
											
18.92S	4.8	0	2.3	0		31.3	0.3	0	SAC-CH	7	E
62.89W	5	0	8.8	2.3		31.3	MCz	999	02B.5	O	RO
	5.6	0	8	11.1							
	6.6	0	12.2	19.1							
	8	0	9.7	31.3	m						
	7.62	0	10.2	41	m						
	8.2	0	0	51.2	m						
											
18.66S	5.77	0	2.3	0		28.4	0.4	0	SAC-CH	4	E
61.16W	6.33	0	26.1	2.3		28.4	MCz	999	02B.5	B	AS
	8.08	0	22.9	28.4	m						
	8.36	0	0	51.3	m						
											
10.57N	0	2	7.5	0	g	50	0.2	0	SAC-LL	5	E
64.17W	0	3.8	7.5	7.5	g	50	MCz	999	94R.3	E	XC
	0	3.8	10	15	g						
