The South American Crustal Structure Database

56.72S	2.1	0	1.12	0	s	0	-7.9	0	SAO-SR	3	S
24.53W	4.04	0	2.2	1.12	s	3.32	MCz	140	71E.2		
	5.65	0	0	3.32							
											
9.00N	2.2	0	0.63	0	s	0.94	-3.2	0	NPO-GU	3	U
88.00W	5.14	0	0.94	0.63		1.57	MCz	900	70H.4		
	6.85	0	0	1.57							
											
10.00N	2	0	0.42	0	s	0	-3.5	0	NPO-GU	2	U
90.00W	5.14	0	0	0.42		0.42	MCz	900	70H.4		
											
18.98S	2.15	0	0.42	0	s	4.57	-4.2	0	SPO-KE	4	R
81.55W	5.43	0	1.16	0.42		4.99	MCz	34	71S.3		
	6.9	0	3.41	1.58							
	8.14	0	0	4.99	m						
											
13.58S	2.15	0	0.3	0	s	6.12	-4.5	0	SPO-TI	4	R
79.17W	5.24	0	1.34	0.3		6.42	MCz	136	71S.3		
	6.9	0	4.78	1.64							
	8.09	0	0	6.42	m						
											
21.55S	2.15	0	0.11	0	s	5.84	-4.5	0	SPO-SW	4	R
79.17W	5.22	0	0.81	0.11		5.95	MCz	174	71S.3		
	6.47	0	5.03	0.92							
	8.1	0	0	5.95	m						
											
23.50S	2.15	0	0.26	0	s	10.03	-3.8	0	SPO-SW	4	R
72.98W	5.22	0	1.8	0.26		10.29	MCz	176	71S.3		
	6.61	0	8.23	2.06							
	8.24	0	0	10.29	m						
											
27.07S	2.15	0	0.08	0	s	4.91	-3.9	0	SPO-RO	4	R
88.82W	4.7	0	1.45	0.08	s	6.44	MCz	88	71S.3		
	6.67	0	4.91	1.53							
	8.32	0	0	6.44	m						
											
59.57S	1.8	0	0.05	0	s	1.93	-4.1	0	SPO-SE	3	S
73.75W	5.3	0	1.93	0.05		1.98	MCz	48	71E.2		
	6.72	0	0	1.98							
											
59.57S	1.8	0	0.12	0	s	0	-4.6	0	SPO-SE	3	S
73.75W	4.69	0	1.1	0.12	s	1.22	MCz	121	71E.2		
	6.62	0	0	1.22							
											
14.70N	2.19	0	0.42	0	s	0	-3.9	0	CGM-CO	3	B
77.28W	2.14	0	0.69	0.42	s	1.11	MCz	900	75L.2		
	4.51	0	0	1.11	s						
											
14.70N	1.87	0	0.53	0	s	0	-3.9	0	CGM-CO	4	B
77.15W	3.35	0	1.05	0.53	s	2.56	MCz	900	75L.2		
	4	0	0.98	1.58	s						
	5.36	0	0	2.56							
											
14.70N	1.93	0	0.57	0	s	0	-3.8	0	CGM-CO	3	B
77.00W	2.9	0	0.69	0.57	s	1.26	MCz	900	75L.2		
	4.46	0	0	1.26	s						
											
12.45N	1.63	0	0.24	0	s	0	-3.7	0	CGM-CO	6	B
76.95W	1.8	0	0.35	0.24	s	2.02	MCz	900	75L.2		
	2.11	0	0.5	0.59	s						
	2.32	0	0.33	1.09	s						
	3.17	0	0.6	1.42	s						
	2.98	0	0	2.02	s						
											
12.32N	1.83	0	0.65	0	s	0	-3.6	0	CGM-CO	4	B
76.88W	2.08	0	0.65	0.65	s	2.12	MCz	900	75L.2		
	2.52	0	0.82	1.3	s						
	2.49	0	0	2.12	s						
											
12.32N	1.79	0	0.62	0	s	0	-3.6	0	CGM-CO	3	B
76.80W	2.09	0	1.19	0.62	s	1.81	MCz	900	75L.2		
	2.73	0	0	1.81	s						
											
14.73N	2.06	0	0.65	0	s	0	-3.6	0	CGM-CO	4	B
76.75W	2.84	0	0.57	0.65	s	2	MCz	900	75L.2		
	4.22	0	0.78	1.22	s						
	4.74	0	0	2	s						
											
12.25N	1.84	0	0.49	0	s	0	-3.5	0	CGM-CO	5	B
76.70W	1.59	0	0.38	0.49	s	2.78	MCz	900	75L.2		
	2.22	0	0.64	0.87	s						
	2.29	0	1.27	1.51	s						
	3.8	0	0	2.78	s						
											
14.75N	1.8	0	0.33	0	s	0	-3.6	0	CGM-CO	3	B
76.62W	2.5	0	0.38	0.33	s	0.71	MCz	900	75L.2		
	3.08	0	0	0.71	s						
											
12.18N	1.83	0	0.56	0	s	0	-3.5	0	CGM-CO	5	B
76.60W	1.78	0	0.35	0.56	s	3.13	MCz	900	75L.2		
	2.64	0	0.74	0.91	s						
	3.35	0	1.48	1.65	s						
	3.73	0	0	3.13	s						
											
12.02N	1.78	0	0.53	0	s	0	-3.3	0	CGM-CO	3	B
76.35W	1.99	0	0.7	0.53	s	1.23	MCz	900	75L.2		
	2.61	0	0	1.23	s						
											
14.88N	1.83	0	0.66	0	s	0	-4	0	CGM-CO	2	B
75.88W	4.1	0	0	0.66	s	0.66	MCz	900	75L.2		
											
14.92N	1.83	0	0.64	0	s	0	-4	0	CGM-CO	4	B
75.77W	3.07	0	0.77	0.64	s	3.42	MCz	900	75L.2		
	4.3	0	2.01	1.41	s						
	5.65	0	0	3.42							
											
14.93N	1.86	0	0.64	0	s	0	-4	0	CGM-CO	3	B
75.60W	3.41	0	0.94	0.64	s	1.58	MCz	900	75L.2		
	4.57	0	0	1.58	s						
											
14.95N	1.76	0	0.27	0	s	0	-4	0	CGM-CO	3	B
75.43W	2.38	0	0.47	0.27	s	0.74	MCz	900	75L.2		
	3.47	0	0	0.74	s						
											
14.97N	1.93	0	0.68	0	s	0	-4	0	CGM-CO	2	B
75.27W	3.7	0	0	0.68	s	0.68	MCz	900	75L.2		
											
14.97N	2.18	0	0.86	0	s	0	-4	0	CGM-CO	3	B
75.10W	3.41	0	0.57	0.86	s	1.43	MCz	900	75L.2		
	4.2	0	0	1.43	s						
											
14.97N	2.05	0	0.75	0	s	0	-4	0	CGM-CO	3	B
74.35W	2.87	0	0.54	0.75	s	1.29	MCz	900	75L.2		
	4	0	0	1.29	s						
											
14.98N	2.03	0	0.62	0	s	0	-4	0	CGM-CO	2	B
74.22W	3.34	0	0	0.62	s	0.62	MCz	900	75L.2		
											
24.00S	0	0	60	0		60	4.4	0	SAC-AN	2	R
68.00W	8	0	0	60	m	60	MCz	60	71J.1	O	RO
											
24.00S	0	0	40	0		40	1.2	0	SAC-AN	2	R
70.00W	8	0	0	40	m	40	MCz	60	71J.1	O	RO
											
13.48S	6.3	0	16	0		40	0.2	0	SAC-CH	3	R
67.00W	6.8	0	24	16		40	MCz	60	71J.1	B	AS
	8	0	0	40	m						
											
12.75N	2	0	1.6	0	s	12.6	-4	0	CGM-CO	5	U
78.80W	4.6	0	1.8	1.6	s	16	MCz	999	71E.1		
	6	0	2.6	3.4							
	7	0	10	6							
	8.1	0	0	16	m						
											
14.60N	2	0	1.6	0	s	7.7	-4.5	0	CGM-VE	5	U
67.50W	4.35	0	1.2	1.6	s	10.5	MCz	999	71E.1		
	6.3	0	2.7	2.8							
	7.3	0	5	5.5							
	8.1	0	0	10.5	m						
											
14.00S	0	0	70	0		70	3.9	0	SAC-AN	2	R
74.00W	8	0	0	70	m	70	MCz	60	71J.1	O	RO
											
13.40S	6.3	2.93	16	0		40	1.1	0	SAC-AN	3	R
70.00W	6.8	3.04	24	16		40	MCz	60	71J.1	P	LT
	8	3.35	0	40	m						
											
12.00S	0	0	60	0		60	4.6	0	SAC-AN	2	R
